Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-19,09:30,09:47,PE,23300,231,203.28,258.72,286.44,TARGET,Y,09:38,55.44,24,GOOD,FVG+OrdBlock,2026-03-24
2026-03-19,09:52,10:52,CE,23250,237.95,209.4,266.5,295.06,TIME_PROFIT,N,,6.2,2.61,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-19,11:15,11:48,PE,23200,250.05,220.04,280.06,310.06,SL,N,,-30.01,-12,GOOD,FVG+OrdBlock,2026-03-24
2026-03-19,11:49,12:49,CE,23250,227,199.76,254.24,281.48,TIME_PROFIT,N,,10,4.41,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-19,12:50,13:28,PE,23250,231.85,204.03,259.67,287.49,TARGET,Y,13:10,55.64,24,MODERATE,LiqGrab+Breaker,2026-03-24
2026-03-19,13:30,14:03,CE,23200,224.75,197.78,251.72,278.69,SL,N,,-26.97,-12,MODERATE,LiqGrab+SMTrap,2026-03-24
2026-03-19,14:39,14:55,PE,23100,257.1,226.25,287.95,318.8,TARGET,Y,14:53,61.7,24,GOOD,FVG+OrdBlock,2026-03-24
