Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-10,09:28,10:28,CE,24250,397.25,349.58,444.92,492.59,TIME_PROFIT,N,,2.3,0.58,MODERATE,LiqGrab+OrdBlock,2026-03-24
2026-03-10,10:31,11:31,CE,24300,378.7,333.26,424.14,469.59,TIME_PROFIT,N,,6.65,1.76,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-10,11:53,12:54,CE,24300,374.55,329.6,419.5,464.44,TIME_PROFIT,N,,1.8,0.48,MODERATE,LiqGrab+Breaker,2026-03-24
2026-03-10,12:58,14:11,PE,24200,350.9,308.79,393.01,435.12,SL,N,,-42.11,-12,MODERATE,LiqGrab+Breaker,2026-03-24
2026-03-10,14:12,15:20,PE,24300,352.9,310.55,395.25,437.6,TIME_EXIT,N,,-16.4,-4.65,MODERATE,LiqGrab+OrdBlock,2026-03-24
