Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-18,09:22,10:22,PE,23700,219.15,192.85,245.45,271.75,TIME_PROFIT,Y,10:02,1.6,0.73,MODERATE,FVG+OrdBlock,2026-03-24
2026-03-18,10:23,11:00,PE,23750,234.55,206.4,262.7,290.84,SL,N,,-28.15,-12,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-18,11:22,12:22,PE,23800,233.25,205.26,261.24,289.23,TIME_PROFIT,N,,6.1,2.62,MODERATE,LiqGrab+SMTrap,2026-03-24
2026-03-18,12:24,13:24,CE,23800,215.05,189.24,240.86,266.66,TIME_PROFIT,N,,19,8.84,MODERATE,LiqGrab+Breaker,2026-03-24
2026-03-18,13:26,14:26,PE,23800,216.5,190.52,242.48,268.46,SL,N,,-25.98,-12,MODERATE,LiqGrab+OrdBlock,2026-03-24
2026-03-18,14:46,15:20,CE,23800,212.05,186.6,237.5,262.94,SL,N,,-25.45,-12,MODERATE,LiqGrab+SMTrap,2026-03-24
