Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-12,10:01,11:03,PE,23650,385,338.8,431.2,477.4,SL,N,,-46.2,-12,MODERATE,FVG+OrdBlock,2026-03-24
2026-03-12,11:06,12:07,PE,23750,381.8,335.98,427.62,473.43,TIME_PROFIT,Y,11:21,1.35,0.35,MODERATE,LiqGrab+SMTrap,2026-03-24
2026-03-12,12:15,13:05,CE,23800,385.7,339.42,431.98,478.27,SL,N,,-46.28,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-12,13:42,14:42,PE,23800,349.5,307.56,391.44,433.38,TIME_PROFIT,Y,14:10,56.9,16.28,GOOD,LiqGrab+OrdBlock+SMTrap,2026-03-24
