Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-16,09:41,09:59,CE,23300,366.85,322.83,410.87,454.89,SL,N,,-44.02,-12,GOOD,FVG+OrdBlock,2026-03-24
2026-03-16,10:05,10:17,CE,23200,387.85,341.31,434.39,480.93,SL,N,,-46.54,-12,MODERATE,FVG+OrdBlock,2026-03-24
2026-03-16,10:21,11:19,PE,23100,359,315.92,402.08,445.16,SL,Y,10:53,-43.08,-12,GOOD,FVG+OrdBlock,2026-03-24
2026-03-16,11:25,12:33,PE,23150,339.55,298.8,380.3,421.04,TIME_PROFIT,N,,1.45,0.43,GOOD,LiqGrab+OrdBlock+Breaker+SMTrap,2026-03-24
2026-03-16,12:35,13:44,PE,23100,339.75,298.98,380.52,421.29,TIME_PROFIT,N,,2.15,0.63,GOOD,FVG+OrdBlock,2026-03-24
2026-03-16,13:46,14:23,CE,23100,396.6,349.01,444.19,491.78,TARGET,Y,14:19,95.18,24,MODERATE,LiqGrab+OrdBlock,2026-03-24
2026-03-16,14:30,14:40,PE,23350,346.5,304.92,388.08,429.66,SL,N,,-41.58,-12,MODERATE,LiqGrab+SMTrap,2026-03-24
2026-03-16,14:41,15:20,CE,23400,342.45,301.36,383.54,424.64,TIME_EXIT,Y,14:50,-7.45,-2.18,GOOD,OrdBlock+Breaker,2026-03-24
