Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-11,09:34,10:36,CE,24250,374.6,329.65,419.55,464.5,SL,N,,-44.95,-12,MODERATE,LiqGrab+OrdBlock,2026-03-24
2026-03-11,10:45,11:45,PE,24050,363,319.44,406.56,450.12,TIME_PROFIT,Y,11:34,34,9.37,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-11,11:48,13:03,CE,24100,386,339.68,432.32,478.64,TIME_EXIT,N,,-19.55,-5.06,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-11,13:19,14:29,CE,24050,385.25,339.02,431.48,477.71,TIME_PROFIT,N,,3.35,0.87,MODERATE,LiqGrab+OrdBlock,2026-03-24
2026-03-11,14:30,15:14,CE,24050,374.6,329.65,419.55,464.5,SL,N,,-44.95,-12,GOOD,OrdBlock+Breaker,2026-03-24
