Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-17,09:25,09:39,PE,23350,297.6,261.89,333.31,369.02,SL,N,,-35.71,-12,GOOD,FVG+OrdBlock,2026-03-24
2026-03-17,09:40,10:40,CE,23450,300.3,264.26,336.34,372.37,TIME_PROFIT,Y,10:03,1.9,0.63,GOOD,FVG+OrdBlock,2026-03-24
2026-03-17,10:41,10:50,PE,23450,282,248.16,315.84,349.68,SL,N,,-33.84,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-17,10:51,11:13,CE,23550,274.6,241.65,307.55,340.5,SL,N,,-32.95,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-17,11:16,12:16,PE,23450,284,249.92,318.08,352.16,TIME_PROFIT,Y,11:25,22.35,7.87,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-17,12:19,13:03,CE,23400,274.75,241.78,307.72,340.69,TARGET,Y,12:43,65.94,24,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-17,13:08,14:08,CE,23500,291.35,256.39,326.31,361.27,TIME_PROFIT,Y,13:31,20.7,7.1,GOOD,FVG+OrdBlock,2026-03-24
2026-03-17,14:16,15:20,CE,23550,279.85,246.27,313.43,347.01,TIME_EXIT,Y,14:59,-3.85,-1.38,MODERATE,OrdBlock+Breaker,2026-03-24
