Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-13,09:32,10:32,PE,23450,351.9,309.67,394.13,436.36,TIME_PROFIT,Y,09:47,61.7,17.53,MODERATE,LiqGrab+OrdBlock,2026-03-24
2026-03-13,10:33,11:48,PE,23350,376.05,330.92,421.18,466.3,TIME_EXIT,N,,-31.1,-8.27,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-13,11:51,12:31,PE,23400,367.5,323.4,411.6,455.7,TARGET,Y,12:20,88.2,24,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-13,12:32,13:32,PE,23250,381.35,335.59,427.11,472.87,TIME_PROFIT,Y,13:15,40.55,10.63,GOOD,FVG+OrdBlock,2026-03-24
2026-03-13,13:33,14:32,PE,23150,382.65,336.73,428.57,474.49,SL,N,,-45.92,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-13,14:35,15:20,PE,23250,392.3,345.22,439.38,486.45,TIME_EXIT,Y,14:56,46.05,11.74,GOOD,LiqGrab+FVG+OrdBlock,2026-03-24
