Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-23,09:22,09:51,CE,22700,214.05,188.36,239.74,265.42,SL,Y,09:36,-25.69,-12,GOOD,FVG+OrdBlock,2026-03-24
2026-03-23,10:00,11:00,PE,22600,241.3,212.34,270.26,299.21,TIME_PROFIT,Y,10:51,30.9,12.81,GOOD,FVG+OrdBlock,2026-03-24
2026-03-23,11:03,11:07,PE,22500,220.3,193.86,246.74,273.17,SL,N,,-26.44,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-23,11:08,11:35,CE,22550,237.15,208.69,265.61,294.07,SL,N,,-28.46,-12,GOOD,FVG+OrdBlock+Breaker,2026-03-24
2026-03-23,11:37,12:39,PE,22550,238.75,210.1,267.4,296.05,TIME_PROFIT,Y,12:24,5.3,2.22,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-23,12:40,13:44,PE,22550,240.55,211.68,269.42,298.28,SL,Y,12:58,-28.87,-12,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-23,14:07,14:33,PE,22650,224.85,197.87,251.83,278.81,TARGET,Y,14:31,53.96,24,GOOD,LiqGrab+OrdBlock+SMTrap,2026-03-24
2026-03-23,14:37,15:03,CE,22600,186.35,163.99,208.71,231.07,SL,Y,14:50,-22.36,-12,MODERATE,FVG+OrdBlock,2026-03-24
