Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-20,09:32,09:43,CE,23300,251.3,221.14,281.46,311.61,SL,N,,-30.16,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-20,09:46,10:46,CE,23250,239,210.32,267.68,296.36,TIME_PROFIT,Y,10:41,38.15,15.96,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-20,10:48,11:21,PE,23300,246,216.48,275.52,305.04,SL,N,,-29.52,-12,GOOD,LiqGrab+FVG+OrdBlock+Breaker,2026-03-24
2026-03-20,11:22,11:42,CE,23350,232.5,204.6,260.4,288.3,SL,N,,-27.9,-12,GOOD,FVG+OrdBlock,2026-03-24
2026-03-20,11:51,12:21,PE,23250,230.9,203.19,258.61,286.32,TARGET,Y,12:08,55.42,24,GOOD,FVG+OrdBlock,2026-03-24
2026-03-20,12:33,13:33,CE,23150,259.85,228.67,291.03,322.21,TIME_PROFIT,Y,12:52,47.6,18.32,GOOD,LiqGrab+FVG+OrdBlock+SMTrap,2026-03-24
2026-03-20,13:36,14:22,PE,23250,227.55,200.24,254.86,282.16,TARGET,Y,13:46,54.61,24,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-20,14:23,14:50,PE,23150,236.2,207.86,264.54,292.89,TARGET,Y,14:43,56.69,24,GOOD,FVG+OrdBlock,2026-03-24
2026-03-20,14:52,15:20,CE,23100,235.2,206.98,263.42,291.65,TIME_EXIT,Y,15:02,11.1,4.72,MODERATE,LiqGrab+OrdBlock,2026-03-24
