Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-23,14:09,15:09,PE,22650,241.05,212.12,269.98,298.9,TIME_PROFIT,Y,14:33,42.95,17.82,GOOD,LiqGrab+OrdBlock+SMTrap,2026-03-24
2026-03-23,13:31,13:45,PE,22550,245.55,216.08,275.02,304.48,SL,N,,-32.9,-13.4,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-23,12:31,13:31,CE,22450,257.3,226.42,288.18,319.05,TIME_PROFIT,N,,6.8,2.64,MODERATE,FVG+OrdBlock,2026-03-24
2026-03-23,11:27,12:26,PE,22600,246.7,217.1,276.3,305.91,TARGET,Y,12:23,61.4,24.89,MODERATE,OrdBlock+Breaker,2026-03-24
